0,1,2,3,4
서울전체,경력,6~15년,대졸↑,정규직
서울,마포구,경력5년↑,학력무관,정규직
서울,강남구,경력5년↑,학력무관,정규직
서울,강남구,신입·경력,학력무관,정규직
서울,강남구,경력3년↑,대졸↑,정규직
서울,송파구,경력7년↑,초대졸↑,정규직
서울,구로구,경력5년↑,대졸↑,정규직
서울전체,경력,5~7년,초대졸↑,정규직
서울전체,경력,6~10년,학력무관,정규직
서울전체,경력,4~10년,학력무관,정규직
서울,금천구,경력5년↑,대졸↑,정규직
서울,송파구,경력5년↑,학력무관,정규직
경기전체,경력,3~10년,학력무관,정규직
서울,성동구,경력5년↑,초대졸↑,정규직
경기전체,경력,3~10년,대졸↑,정규직
경기전체,경력,3~12년,대졸↑,정규직
서울전체,경력,4~7년,대졸↑,정규직
서울,구로구,경력5년↑,초대졸↑,정규직
대전,유성구,경력3년↑,대졸↑,정규직
서울,마포구,경력2년↑,학력무관,정규직
서울,금천구,경력3년↑,대졸↑,정규직
서울,성동구,경력3년↑,학력무관,정규직
서울전체,경력,5~20년,대졸↑,정규직
서울,강남구,경력8년↑,대졸↑,정규직
서울,성동구,경력1년↑,학력무관,정규직
서울,강서구,경력3년↑,학력무관,정규직
서울,성동구,경력10년↑,학력무관,정규직
경기전체,경력,5~10년,초대졸↑,정규직
서울,영등포구,경력5년↑,학력무관,정규직
서울전체,경력,5~10년,학력무관,정규직
서울,송파구,경력3년↑,학력무관,정규직
서울전체,경력,2~10년,학력무관,정규직
울산,중구,경력2년↑,초대졸↑,정규직·계약직
경기전체,경력,7~10년,학력무관,정규직
서울전체,경력,6~10년,대졸↑,정규직
경기전체,경력,11~15년,학력무관,정규직
제주,제주시,경력3년↑,학력무관,정규직
서울,마포구,경력4년↑,고졸↑,정규직
대전,중구,경력3년↑,학력무관,정규직
대전전체,경력,5~20년,학력무관,정규직
서울,중구,경력4년↑,학력무관,정규직
서울,강남구,경력3년↑,학력무관,정규직
인천,부평구,경력3년↑,초대졸↑,정규직
부산전체,경력,5~12년,대졸↑,정규직
경기전체,경력,3~10년,학력무관,정규직
경기전체,경력,3~20년,학력무관,정규직
서울,강남구,신입·경력,학력무관,정규직
서울,영등포구,경력5년↑,학력무관,정규직
경기전체,경력,3~10년,학력무관,정규직
서울,서초구,경력5년↑,대졸↑,정규직
서울,서초구,경력5년↑,대졸↑,정규직
서울,성동구,경력4년↑,대졸↑,정규직
경기전체,경력,5~15년,학력무관,정규직
서울전체,경력,10~15년,학력무관,정규직
서울,서초구,경력3년↑,학력무관,정규직
서울,강남구,경력,학력무관,정규직
서울,서초구,경력5년↑,대졸↑,정규직
서울,강남구,경력10년↑,학력무관,정규직
경기전체,경력,4~15년,학력무관,정규직
부산,남구,경력5년↑,학력무관,정규직
경기전체,경력,3~15년,대졸↑,정규직
서울,강서구,경력5년↑,학력무관,정규직·계약직
서울,구로구,경력3년↑,초대졸↑,정규직
서울,강남구,신입·경력,학력무관,정규직
서울,강남구,경력3년↑,대졸↑,정규직
경기,화성시,경력3년↑,고졸↑,정규직·계약직
서울,강남구,경력5년↑,학력무관,정규직
서울,송파구,경력7년↑,학력무관,계약직
서울,송파구,경력7년↑,학력무관,계약직
서울,금천구,경력3년↑,학력무관,정규직
서울전체,경력,5~15년,대졸↑,정규직
서울,마포구,경력10년↑,학력무관,정규직
경기,구리시,경력3년↑,대졸↑,정규직
서울,강남구,경력3년↑,학력무관,정규직
서울,서초구,경력3년↑,초대졸↑,정규직
서울,강남구,경력5년↑,대졸↑,정규직
서울,강남구,경력3년↑,학력무관,정규직
서울,송파구,경력6년↑,학력무관,정규직
경기,남양주시,경력1년↑,학력무관,정규직·계약직
서울,송파구,경력,학력무관,정규직
서울,강남구,경력5년↑,대졸↑,정규직
서울,강남구,경력3년↑,대졸↑,정규직
서울,용산구,경력3년↑,대졸↑,정규직
전남전체,경력,2~10년,대졸↑,정규직
서울,강서구,경력3년↑,학력무관,정규직
서울,성동구,경력5년↑,대졸↑,정규직
전남전체,경력,2~10년,대졸↑,정규직
서울,강남구,경력5년↑,학력무관,정규직
경기,과천시,경력5년↑,학력무관,정규직
서울,금천구,경력3년↑,초대졸↑,정규직
서울,서초구,경력3년↑,초대졸↑,정규직
서울,서초구,경력3년↑,초대졸↑,정규직
서울,성동구,경력10년↑,학력무관,정규직
서울,성동구,경력5년↑,학력무관,정규직
서울,서초구,경력5년↑,학력무관,계약직
서울,강남구,경력3년↑,학력무관,정규직
서울,마포구,경력3년↑,대졸↑,정규직
대전전체,경력,3~15년,대졸↑,정규직
서울,강남구,경력3년↑,학력무관,정규직
서울,서초구,경력3년↑,초대졸↑,정규직
서울,서초구,경력7년↑,초대졸↑,정규직
서울,금천구,경력5년↑,학력무관,정규직
서울,서초구,경력3년↑,학력무관,정규직
서울,송파구,경력5년↑,초대졸↑,정규직
서울,송파구,경력10년↑,대졸↑,정규직
서울,강남구,경력3년↑,초대졸↑,정규직
서울,강남구,경력무관,학력무관,정규직
서울,강서구,신입·경력,초대졸↑,정규직
서울,강남구,경력무관,학력무관,정규직·계약직
서울,금천구,신입·경력,대졸↑,정규직
서울,강남구,경력3년↑,학력무관,정규직
서울,서초구,경력3년↑,학력무관,정규직
서울,성동구,신입·경력,고졸↑,정규직
경기,하남시,경력1년↑,학력무관,정규직
서울,영등포구,경력무관,대졸↑,정규직·계약직
서울,강서구,경력무관,학력무관,정규직
서울,강남구,신입·경력,학력무관,정규직
서울,강남구,신입·경력,학력무관,정규직
서울,강남구,신입·경력,학력무관,정규직
인천,연수구,경력3년↑,고졸↑,정규직
부산,부산진구,경력무관,대졸↑,정규직
서울,강남구,신입·경력,초대졸↑,정규직
강원,원주시,경력무관,초대졸↑,정규직
서울,노원구,경력,초대졸↑,정규직
경기전체,경력,4~12년,대졸↑,정규직
서울,동작구,경력무관,학력무관,정규직·계약직
경기,화성시,경력4년↑,대졸↑,정규직
서울,서초구,경력5년↑,대졸↑,정규직·계약직
서울,강남구,경력무관,학력무관,정규직
서울전체,경력,5~10년,초대졸↑,정규직
서울,중구,경력,대졸↑,정규직
서울전체,경력,7~17년,학력무관,정규직
서울,강남구,경력5년↑,고졸↑,정규직
서울,강남구,경력3년↑,학력무관,정규직
서울,구로구,경력5년↑,학력무관,정규직
서울,성동구,경력,대졸↑,정규직
경기전체,경력,4~10년,학력무관,정규직
경기전체,경력,2~20년,대졸↑,정규직
서울전체,경력,5~7년,학력무관,정규직
서울전체,경력,5~12년,대졸↑,정규직
서울,강남구,경력무관,학력무관,정규직
부산,해운대구,경력1년↑,학력무관,정규직
서울,금천구,경력무관,대졸↑,정규직
서울전체,경력,5~15년,학력무관,정규직
서울전체,경력,3~10년,학력무관,정규직
서울,양천구,경력3년↑,대졸↑,정규직
서울,강남구,경력3년↑,학력무관,정규직
강원,춘천시,신입·경력,초대졸↑,정규직
서울전체,경력,5~10년,학력무관,정규직
경기전체,경력,3~10년,대졸↑,정규직
서울,영등포구,경력3년↑,대졸↑,정규직
서울,영등포구,경력무관,대졸↑,정규직
서울,중구,경력5년↑,대졸↑,정규직
제주전체,경력,7~10년,대졸↑,정규직
서울,강남구,경력2년↑,대졸↑,정규직
서울,서초구,경력4년↑,대졸↑,정규직
서울,서초구,경력3년↑,학력무관,정규직
서울전체,경력,5~20년,대졸↑,정규직
서울전체,경력,5~20년,대졸↑,정규직
서울전체,경력,3~5년,대졸↑,정규직
서울,강남구,경력5년↑,학력무관,정규직
서울,강남구,경력3년↑,학력무관,정규직
서울전체,경력,3~10년,학력무관,정규직
서울전체,경력,3~10년,학력무관,정규직
서울전체,경력,5~15년,학력무관,정규직
서울전체,경력,3~10년,학력무관,정규직
서울,영등포구,경력3년↑,초대졸↑,정규직
서울,강남구,경력5년↑,대졸↑,정규직
경기전체,경력,3~10년,초대졸↑,정규직
서울,강남구,경력5년↑,학력무관,정규직
서울,강남구,경력4년↑,학력무관,정규직
서울,영등포구,경력8년↑,대졸↑,정규직
경기전체,경력,3~5년,학력무관,정규직
서울전체,경력,5~10년,학력무관,정규직
서울,강남구,경력8년↑,대졸↑,정규직
경기전체,경력,3~10년,대졸↑,정규직
서울,용산구,경력6년↑,대졸↑,정규직
광주전체,경력,2~10년,대졸↑,정규직
서울,서초구,경력5년↑,초대졸↑,정규직
대전,서구,경력3년↑,초대졸↑,정규직
대전,서구,경력3년↑,초대졸↑,정규직
서울,서초구,경력5년↑,대졸↑,정규직
경북,안동시,경력무관,대졸↑,정규직
부산,해운대구,경력2년↑,학력무관,정규직
서울,마포구,경력3년↑,학력무관,정규직
경남,창원시,경력,대졸↑,정규직
경기,평택시,신입·경력,대졸↑,정규직
서울,서초구,신입·경력,초대졸↑,정규직
서울,강남구,신입·경력,초대졸↑,정규직
충북,보은군,신입·경력,학력무관,정규직
경기,안산시,신입·경력,대졸↑,정규직
서울,송파구,신입·경력,초대졸↑,정규직·계약직
대구,수성구,경력,학력무관,계약직
경기,군포시,신입·경력,학력무관,정규직·계약직
서울,서초구,신입·경력,초대졸↑,정규직·계약직
서울,송파구,신입·경력,초대졸↑,정규직·계약직
서울,강남구,신입·경력,대졸↑,정규직
서울,노원구,신입·경력,대졸↑,정규직
서울,서초구,신입·경력,초대졸↑,정규직·계약직
서울,강남구,경력,학력무관,정규직·계약직
서울,강남구,신입·경력,대졸↑,정규직·계약직
서울,송파구,신입·경력,고졸↑,정규직·계약직
경남,창원시,신입·경력,학력무관,정규직·계약직
서울,마포구,신입·경력,초대졸↑,정규직
서울,서초구,경력,대졸↑,정규직
서울,영등포구,신입·경력,고졸↑,정규직
서울,송파구,신입·경력,학력무관,정규직
서울,강남구,신입·경력,초대졸↑,정규직
충남,아산시,신입·경력,학력무관,정규직·계약직
충남,아산시,신입·경력,초대졸↑,정규직
서울,중구,신입·경력,초대졸↑,정규직·계약직
서울,영등포구,경력무관,대졸↑,정규직
경기,화성시,신입·경력,초대졸↑,정규직
서울,서초구,신입·경력,학력무관,정규직·계약직
서울,마포구,신입·경력,학력무관,정규직
서울,서초구,경력2년↑,학력무관,정규직·계약직
서울,강남구,경력,학력무관,정규직·계약직
