년월,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
			2018-01,0.2,-3.7,4.6
			2018-02,1.8,-3.1,7
			2018-03,8.9,3.8,14.6
			2018-04,13.9,8.6,19.4
			2018-05,18.3,14,23.2
			2018-06,22.2,18.4,27
			2018-07,27.1,23.6,31.4
			2018-08,27.9,24.7,32.1
			2018-09,21.6,17.9,25.8
			2018-10,14.8,10,20.1
			2018-11,10,5,15.8
			2018-12,3.8,-0.1,8.1
			2019-01,2.3,-2,7.2
			2019-02,3.8,-0.6,9
			2019-03,8.3,3,14.1
			2019-04,12.4,7.5,17.6
			2019-05,18.3,12.3,24.6
			2019-06,21.2,17.4,25.9
			2019-07,24.6,21.9,28.2
			2019-08,26.5,23.2,30.5
			2019-09,22.6,19.4,26.7
			2019-10,17,12.6,22
			2019-11,10.8,5.8,16.5
			2019-12,4.8,0.4,9.5
			2020-01,4.6,1.1,8.6
			2020-02,5.1,0.4,10
			2020-03,8.5,3.1,14
			2020-04,11,5.6,16.7
			2020-05,17.6,13.5,22.2
			2020-06,22.4,18.7,26.8
			2020-07,22.8,20.6,26
			2020-08,27.3,24.6,30.9
			2020-09,21.4,18,25.5
			2020-10,15.6,11,21.1
			2020-11,10.8,6.3,15.7
			2020-12,2.9,-1.7,8.1
			2021-01,1.8,-2.7,6.8
			2021-02,5.3,0.6,10.5
			2021-03,9.9,5,15.5
			2021-04,13.9,8.8,19.3
			2021-05,17.7,12.9,22.7
			2021-06,22.4,18.8,26.8
			2021-07,26.4,23.3,30.1
			2021-08,26.1,23,30
			2021-09,22.7,19.7,26.5
			2021-10,17.1,12.7,22.5
			2021-11,10.4,5.7,16.1
			2021-12,4.2,-0.3,9.6
			2022-01,1.8,-2.5,6.7
			2022-02,2,-2.7,7
			2022-03,8.9,3.8,14.6
			2022-04,14.2,8.7,20.4
			2022-05,18.1,12.6,24.1
			2022-06,22.6,19.5,26.7
			2022-07,26.5,23.5,30.2
			2022-08,26.5,23.6,29.9
			2022-09,22.5,18.9,26.9
			2022-10,15.7,11.1,21.2
			2022-11,11.7,6.5,17.9
			2022-12,2,-2.1,6.4
			2023-01,2.1,-2.5,7.3
			2023-02,4.1,-0.6,9.6
			2023-03,10.2,4.4,16.7
			2023-04,13.7,8.4,19
			2023-05,18.1,13.9,22.9
			2023-06,22.4,19,26.7
			2023-07,25.6,23.1,28.9
			2023-08,27.1,23.7,31.4
			2023-09,23.9,20.7,28.2
			2023-10,16.8,12.1,22.3
			2023-11,10.4,5.7,15.4
			2023-12,5.3,1.2,9.8
			2024-01,3.6,-0.4,7.9
			2024-02,6.4,2.6,10.6
			2024-03,8.3,3.4,13.6
			2024-04,15.3,10.6,20.8
			2024-05,18.3,13.2,24
			2024-06,22.7,18.7,27.5
			2024-07,26.6,24,29.8
			,,,
