"서울특별시","경작하지 않은 면적규모별",8418,39,8379,56,3007,1552,1848,730,500,331,139,57,36,59,20,15,10,10,9,3977,244
"서울특별시","농축산물경영형태별",8418,39,8379,56,3007,1552,1848,730,500,331,139,57,36,59,20,15,10,10,9,3977,244
"서울특별시","전겸업별",8418,39,8379,56,3007,1552,1848,730,500,331,139,57,36,59,20,15,10,10,9,3977,244
"서울특별시","농축산물판매금액별",8418,39,8379,56,3007,1552,1848,730,500,331,139,57,36,59,20,15,10,10,9,3977,244
"서울특별시","경영주성별",8418,39,8379,56,3007,1552,1848,730,500,331,139,57,36,59,20,15,10,10,9,3977,244
"서울특별시","경영주연령별",8418,39,8379,56,3007,1552,1848,730,500,331,139,57,36,59,20,15,10,10,9,3977,244
"서울특별시","경영주농사경력기간별",8418,39,8379,56,3007,1552,1848,730,500,331,139,57,36,59,20,15,10,10,9,3977,244
"부산광역시","계",11967,41,11926,321,4682,2316,2293,849,562,392,186,86,64,72,30,13,19,24,17,5501,275
"부산광역시","경작하지 않은 면적규모별",11967,41,11926,321,4682,2316,2293,849,562,392,186,86,64,72,30,13,19,24,17,5501,275
"부산광역시","농축산물경영형태별",11967,41,11926,321,4682,2316,2293,849,562,392,186,86,64,72,30,13,19,24,17,5501,275
"부산광역시","전겸업별",11967,41,11926,321,4682,2316,2293,849,562,392,186,86,64,72,30,13,19,24,17,5501,275
"부산광역시","농축산물판매금액별",11967,41,11926,321,4682,2316,2293,849,562,392,186,86,64,72,30,13,19,24,17,5501,275
"부산광역시","경영주성별",11967,41,11926,321,4682,2316,2293,849,562,392,186,86,64,72,30,13,19,24,17,5501,275
"부산광역시","경영주연령별",11967,41,11926,321,4682,2316,2293,849,562,392,186,86,64,72,30,13,19,24,17,5501,275
"부산광역시","경영주농사경력기간별",11967,41,11926,321,4682,2316,2293,849,562,392,186,86,64,72,30,13,19,24,17,5501,275
"대구광역시","계",24809,146,24663,303,9649,4398,5298,1990,1400,777,391,125,77,116,38,28,29,23,21,10827,417
"대구광역시","경작하지 않은 면적규모별",24809,146,24663,303,9649,4398,5298,1990,1400,777,391,125,77,116,38,28,29,23,21,10827,417
"대구광역시","농축산물경영형태별",24809,146,24663,303,9649,4398,5298,1990,1400,777,391,125,77,116,38,28,29,23,21,10827,417
"대구광역시","전겸업별",24809,146,24663,303,9649,4398,5298,1990,1400,777,391,125,77,116,38,28,29,23,21,10827,417
"대구광역시","농축산물판매금액별",24809,146,24663,303,9649,4398,5298,1990,1400,777,391,125,77,116,38,28,29,23,21,10827,417
"대구광역시","경영주성별",24809,146,24663,303,9649,4398,5298,1990,1400,777,391,125,77,116,38,28,29,23,21,10827,417
"대구광역시","경영주연령별",24809,146,24663,303,9649,4398,5298,1990,1400,777,391,125,77,116,38,28,29,23,21,10827,417
"대구광역시","경영주농사경력기간별",24809,146,24663,303,9649,4398,5298,1990,1400,777,391,125,77,116,38,28,29,23,21,10827,417
"인천광역시","계",13239,61,13178,149,3098,1605,2394,1222,1250,1158,739,351,264,307,157,96,85,175,128,14050,280
"인천광역시","경작하지 않은 면적규모별",13239,61,13178,149,3098,1605,2394,1222,1250,1158,739,351,264,307,157,96,85,175,128,14050,280
"인천광역시","농축산물경영형태별",13239,61,13178,149,3098,1605,2394,1222,1250,1158,739,351,264,307,157,96,85,175,128,14050,280
"인천광역시","전겸업별",13239,61,13178,149,3098,1605,2394,1222,1250,1158,739,351,264,307,157,96,85,175,128,14050,280
"인천광역시","농축산물판매금액별",13239,61,13178,149,3098,1605,2394,1222,1250,1158,739,351,264,307,157,96,85,175,128,14050,280
"인천광역시","경영주성별",13239,61,13178,149,3098,1605,2394,1222,1250,1158,739,351,264,307,157,96,85,175,128,14050,280
"인천광역시","경영주연령별",13239,61,13178,149,3098,1605,2394,1222,1250,1158,739,351,264,307,157,96,85,175,128,14050,280
"인천광역시","경영주농사경력기간별",13239,61,13178,149,3098,1605,2394,1222,1250,1158,739,351,264,307,157,96,85,175,128,14050,280
"광주광역시","계",16676,66,16610,158,4856,2961,3818,1645,1270,817,408,177,109,143,52,38,45,48,65,10255,339
"광주광역시","경작하지 않은 면적규모별",16676,66,16610,158,4856,2961,3818,1645,1270,817,408,177,109,143,52,38,45,48,65,10255,339
